congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
102,House,15060,40,4,VA,100,0,1,"SISISKY, Norman",S000453,1927,2001.0,-0.122,0.453,-219.98249,0.746,752,104,,-0.097,0.417
102,House,15115,40,7,VA,200,0,1,"SLAUGHTER, Daniel French, Jr.",S000479,1925,1998.0,0.38,-0.18,-61.83138,0.741,206,30,,0.365,0.001
102,House,15437,40,2,VA,100,0,1,"PICKETT, Owen Bradford",P000326,1930,2010.0,-0.149,0.555,-285.21345,0.686,756,134,,-0.119,0.585
102,House,15452,40,5,VA,100,0,1,"PAYNE, Lewis Franklin, Jr.",P000152,1945,,-0.148,0.418,-251.88622,0.719,764,126,,-0.119,0.452
102,House,29148,40,7,VA,200,0,2,"ALLEN, George",A000121,1952,,0.409,-0.053,-134.37888,0.752,471,54,,0.477,-0.206
102,House,29149,40,8,VA,100,0,1,"MORAN, James P.",M000933,1945,,-0.302,-0.203,-230.15261,0.731,736,104,,-0.255,-0.065
102,House,10726,73,5,WA,100,0,1,"FOLEY, Thomas Stephen",F000239,1929,2013.0,-0.354,0.192,-5.01786,0.818,25,2,,-0.629,-0.245
102,House,14413,73,6,WA,100,0,1,"DICKS, Norman DeValois",D000327,1940,,-0.312,0.11,-154.44452,0.813,745,62,,-0.292,0.221
102,House,14666,73,2,WA,100,0,1,"SWIFT, Allan Byron",S001115,1935,2018.0,-0.43,0.099,-154.95239,0.816,764,64,,-0.473,0.338
102,House,14847,73,4,WA,200,0,1,"MORRISON, Sidney Wallace",M000999,1933,,0.153,-0.158,-276.87127,0.674,701,139,,0.101,-0.19
102,House,15016,73,8,WA,200,0,1,"CHANDLER, Rodney Dennis",C000293,1942,,0.254,-0.612,-199.61347,0.737,655,88,,0.293,-0.488
102,House,15110,73,1,WA,200,0,1,"MILLER, John Ripin",M000736,1938,2017.0,0.168,-0.555,-269.44641,0.686,714,121,,0.248,-0.809
102,House,15613,73,7,WA,100,0,1,"McDERMOTT, James A.",M000404,1936,,-0.666,-0.197,-123.52309,0.852,769,53,,-0.52,-0.364
102,House,15629,73,3,WA,100,0,1,"UNSOELD, Jolene",U000017,1931,2021.0,-0.52,-0.019,-128.82072,0.844,760,51,,-0.506,-0.107
102,House,14448,56,4,WV,100,0,1,"RAHALL, Nick Joe, II",R000011,1949,,-0.306,0.45,-282.7572,0.688,755,123,,-0.293,0.36
102,House,15065,56,2,WV,100,0,1,"STAGGERS, Harley Orrin, Jr.",S000779,1951,,-0.315,0.158,-236.56961,0.713,699,105,,-0.247,0.092
102,House,15077,56,3,WV,100,0,1,"WISE, Robert Ellsworth, Jr.",W000654,1948,,-0.32,0.253,-140.04509,0.827,736,58,,-0.362,0.319
102,House,15083,56,1,WV,100,0,1,"MOLLOHAN, Alan Bowlby",M000844,1943,,-0.292,0.657,-189.60437,0.776,749,81,,-0.31,0.748
102,House,12036,25,7,WI,100,0,1,"OBEY, David Ross",O000007,1938,,-0.45,-0.063,-175.276,0.796,767,71,,-0.425,-0.089
102,House,13003,25,1,WI,100,0,1,"ASPIN, Leslie",A000224,1938,1995.0,-0.32,-0.125,-197.65639,0.763,729,89,,-0.275,0.184
102,House,14655,25,8,WI,200,0,1,"ROTH, Toby A.",R000459,1938,,0.351,-0.21,-323.24939,0.654,761,155,,0.385,-0.122
102,House,14657,25,9,WI,200,0,1,"SENSENBRENNER, Frank James, Jr.",S000244,1943,,0.638,-0.579,-230.49387,0.74188,772,108,,0.625,-0.781
102,House,14675,25,6,WI,200,0,1,"PETRI, Thomas Evert",P000265,1940,,0.379,-0.367,-535.46025,0.5,773,238,,0.294,-0.129
102,House,14827,25,3,WI,200,0,1,"GUNDERSON, Steven Craig",G000524,1951,,0.203,-0.293,-315.52038,0.664,770,162,,0.184,-0.166
102,House,15044,25,5,WI,100,0,1,"MOODY, Jim",M000881,1935,2019.0,-0.347,-0.566,-206.2792,0.754,732,88,,-0.294,-0.546
102,House,15082,25,4,WI,100,0,1,"KLECZKA, Gerald Daniel",K000259,1943,2017.0,-0.322,-0.093,-127.82897,0.842,741,53,,-0.392,0.122
102,House,29150,25,2,WI,200,0,1,"KLUG, Scott L.",K000274,1953,,0.258,-0.713,-357.35059,0.624,758,153,,0.19,-0.498
102,House,15633,68,1,WY,200,0,1,"THOMAS, Craig Lyle",T000162,1933,2007.0,0.446,-0.128,-227.8378,0.739,752,94,,0.432,-0.063
